runId,scenario,variant,repeat,tick,distance,alphaHealth,bravoHealth,attacksThisTick,lastAction
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,22,0.004,17,16,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,23,0.083,17,16,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,24,0.125,17,16,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,25,0.213,17,12,2,close-attack
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,26,0.027,13,12,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,27,0.06,13,12,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,28,0.116,13,12,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,29,0.16,13,12,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,30,0.178,13,12,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,31,0.175,13,12,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,32,0.174,13,12,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,33,0.144,13,12,0,advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,34,0.128,13,12,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,35,0.119,13,12,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,36,0.114,13,8,2,close-attack
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,37,0.141,9,8,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,38,0.155,9,8,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,39,0.163,9,8,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,40,0.168,9,8,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,41,0.17,9,8,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,42,0.171,9,8,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,43,0.143,9,8,0,advance
